338,2020-Overall,Alaska,All,0-64,9565.0,5753.0,0.6015
339,2020-Overall,Arizona,All,0-64,48958.0,28659.0,0.5854
340,2020-Overall,Arkansas,All,0-64,63100.0,28585.0,0.453
341,2020-Overall,California,All,0-64,325795.0,211793.0,0.6501
342,2020-Overall,Colorado,All,0-64,47962.0,28398.0,0.5921
343,2020-Overall,Connecticut,All,0-64,44081.0,31467.0,0.7138
344,2020-Overall,Delaware,All,0-64,16714.0,11596.0,0.6938
345,2020-Overall,District Of Columbia,All,0-64,8677.0,5471.0,0.6305
346,2020-Overall,Florida,All,0-64,200276.0,107684.0,0.5377
347,2020-Overall,Georgia,All,0-64,121838.0,56298.0,0.4621
